tip	date	distance	residual
seq_38_1983-07-15	1983.5342465753424	0.043045431265488085	0.0048549675864043434
seq_14_1983-07-15	1983.5342465753424	0.04367543126548808	0.005484967586404335
seq_16_1983-07-15	1983.5342465753424	0.04367543126548808	0.005484967586404335
seq_18_1983-07-15	1983.5342465753424	0.04367543126548808	0.005484967586404335
seq_4_1983-07-15	1983.5342465753424	0.04367543126548808	0.005484967586404335
seq_5_1983-07-15	1983.5342465753424	0.04367543126548808	0.005484967586404335
seq_6_1983-07-15	1983.5342465753424	0.04367543126548808	0.005484967586404335
seq_8_1983-07-15	1983.5342465753424	0.04367543126548808	0.005484967586404335
seq_17_1983-07-15	1983.5342465753424	0.044995431265488064	0.006804967586404323
seq_36_1983-07-15	1983.5342465753424	0.044995431265488064	0.006804967586404323
seq_39_1983-07-15	1983.5342465753424	0.044995431265488064	0.006804967586404323
